hashtag,tweets,main tweet
Lynx,"[('Minneapolis police leave security posts at Minnesota Lynx game over protest shirts.', 752830900845449216), ('Minneapolis police leave Lynx game over shirts.', 752830907111833600), ('Minneapolis officers working Lynx game walked out over player comments warm up jerseys.', 752830632456314880), ('Players for WNBA s Lynx wore these shirts and the cops working security walked off the job in protest.', 752831058274504704), ('Players for WNBA s Lynx wore these shirts and the cops working security walked off the job in protest https.', 752830657743556608), ('Minneapolis cops walk out of Lynx game over players comments shirts.', 752830322354581508), ('Four Minneapolis cops walked out of a Lynx game in response to players shirts comments.', 752830988787462148), ('Minneapolis cops working Lynx game walk out over player comments warm up jerseys randyfurst StarTribune.', 752830879421046787), ('NEWS Could lynx on the run soon be caught Big cat has started eating FOOD left out for it THE missing lynx.', 752830775905497088)]","[('Minneapolis cops working Lynx game walk out over player comments warm up jerseys.', 752830685048483841)]"
Puglia,"[('Scontro tra treni in Puglia i morti salgono a undici E aumentato il numero dei morti nel.', 752830788975095808), ('Scontro tra treni in Puglia i morti sarebbero almeno 10 Gli aggiornamenti live e le foto https.', 752830836869849088), ('Puglia scontro frontale tra due treni locali nel tratto tra Corato e Andria.', 752830807757221889), ('Italy train crash kills at least 12 two trains collided head on in southern region of Puglia.', 752830801092354048), ('Sto guardando le immagini del disastro ferroviario e abbraccio col pensiero e la preghiera la bella Puglia e gli straordinarii Pugliesi.', 752830833979908098), ('Scontro tra treni in Puglia sale a 11 il numero dei morti andria.', 752830789973409792), ('Firefighters At least 12 killed in head on collision between trains in Puglia Italy AP.', 752830810059780096), ('Breaking Italy train crash At least 10 dead as two trains collide near Puglia.', 752830817391390721), ('fuma Soccorsi in essere e morti ancora caldi e quest individuo gi ci specula su Il vomito Puglia Corato Andria.', 752830797934104576)]","[('Scontro tra treni in Puglia i morti salgono a undici E aumentato il numero dei morti.', 752830808365207552)]"
John Deere Classic,"[('Don t think that s appropriate to play the John Deere Classic which is the same week.', 752826677940609024), ('Zak Jordan Spieth says he will not be playing John Deere Classic opposite the Olympics It would not be appropriate this year.', 752829637638492160), ('Jordan Spieth pulls out of the Olympics If he tries to defend his John Deere Classic title that same week well wouldn t that be a story.', 752539171919503361), ('Jordan Spieth pulls out of the Olympics If he tries to defend his John Deere Classic title that same week well wouldn t that b.', 752558619523026944), ('Asked if he ll play John Deere Classic same week opposite the Olympics Spieth says No it wouldn t be appropriate this year.', 752825253701627908), ('Charlie Danielson at John Deere Classic media day.', 752606676503531520), ('I guess this is good news for the John Deere Classic that is played the same week as men s Olympic competition Spieth.', 752603196565118976), ('Hopefully we ll see Jordan at the John Deere Classic now.', 752582958305775616), ('junior miller Jordan can now defend the John Deere Classic same week as the Olympics YJLAL.', 752827951020773378)]","[('I don t think it s appropriate this year Jordan Spieth says he will NOT defend John Deere Classic title the same week of the Olympics.', 752825371473477632)]"
#IfSelfiesNeverExisted,"[('Biebz We wouldn t have these IfSelfiesNeverExisted.', 752830817253068801), ('IfSelfiesNeverExisted there would be no photo s of me.', 752830686365483008), ('IfSelfiesNeverExisted we wouldn t have these beauties mcfc.', 752830749007613953), ('IfSelfiesNeverExisted what would cadets do when they met ComdtAC and carolvorders.', 752830824022675456), ('IfSelfiesNeverExisted you wouldn t know I ve been to the Physio today.', 752830829827649536), ('IfSelfiesNeverExisted you wouldn t know how beautiful I am.', 752830788903825408), ('IfSelfiesNeverExisted the world would be boring.', 752830861083541504), ('IfSelfiesNeverExisted these women would actually have to get a real job.', 752830690396364801)]","[('We wouldn t have these IfSelfiesNeverExisted.', 752830721249665024)]"
My Vocabulary Size,"[('My Vocabulary Size is about 29450 What about you NLN.', 752830502244081664), ('My Vocabulary Size is about 30150 What about you NLN.', 752830831085756416), ('My Vocabulary Size is about 30325 What about you NLN.', 752830627729244161), ('My Vocabulary Size is about 29625 What about you NLN.', 752829583775395840), ('My Vocabulary Size is about 29975 What about you NLN.', 752828877681025024), ('My Vocabulary Size is about 29275 What about you NLN.', 752830271209209857), ('My Vocabulary Size is about 22200 What about you NLN.', 752828309394722816), ('My Vocabulary Size is about 22350 What about you NLN.', 752828990486880256), ('My Vocabulary Size is about 22650 What about you NLN.', 752829197240963073)]","[('My Vocabulary Size is about 29100 What about you NLN.', 752829798154641409)]"
#AskTheDragon,"[('BrunoMars missed you Brunz Askthedragon.', 752830829273944064), ('BrunoMars you re happy tweeting there while i am stuck here AskTheDragon.', 752830825255755776), ('Have you caught any pokmon BrunoMars PokmonGo AskTheDragon.', 752830778665472000), ('BrunoMars what do you think of this askthedragon.', 752830780267638784), ('BrunoMars when are you coming back to Mexico AsktheDragon.', 752830799041265664), ('BrunoMars askthedragon bring back the Afro.', 752830819643691009), ('BrunoMars what do you mean when you tweet Just know alright askthedragon.', 752830792045252609), ('Do you know who is Abraham Mateo AskTheDragon BrunoMars.', 752830788492783616), ('BrunoMars do you have preparation to do AskTheDragon like mentality or something.', 752830793051807745)]","[('BrunoMars can you upload it AskTheDragon.', 752830810747604992)]"
#FelizMartes,"[('Buenos das y FelizMartes hoy es da de preguntas preguntaaSara.', 752831231255990272), ('FelizMartes Buenos das a todos.', 752831227351236609), ('Las 7 maravillas del Mundo Pgina 193 de 366 FelizMartes.', 752831193155002368), ('Feliz martestengamos fe y esperanza FelizMartes.', 752831154756214785), ('DameUnaHoraY veras como te llevo al cielo FelizMartes PiernasInquietas.', 752831258577686528), ('kpg FelizMartes Disfruta tu daVISITA FIRMA guardiacivil NsMenos.', 752831184460218368), ('La felicidad se puede hallar hasta en los momentos ms oscuros si somos capaces de usar bien la luz FelizMartes BuenosDias.', 752831229548982272), ('Hay una fuerza motriz ms poderosa que el vapor la electricidad y la energa atmica la voluntad FelizMartes.', 752831221021958144), ('La gente positiva cambia el mundo mientras que la negativa la mantiene como est felizmartes mundo.', 752831187471728640)]","[('FelizMartes Comparto el PicoyPlaca MejorMovilidad DTB.', 752831283965878272)]"
Azure Mines,"[('Azure Mines PC DEMO testers can now access Azure Mines on Xbox Open it on PC and then go to Recently Played on Xbox LAUNCH IN lt 1 HOUR.', 752802253912862720), ('Get ready Azure Mines Early Beta will be launched on Xbox One and PC within two hours from now.', 752827272361631745), ('Azure Mines open beta will launch on Xbox and PC today P.', 752827200714530816), ('Azure Mines Early Beta is now live for everyone on PC and Xbox One to play Report any bugs amp be ready for updates https.', 752827481158213632), ('At this point there are 120 people playing Azure Mines on Xbox One Just scroll down the popular tab and you ll find it.', 752826596336295936), ('berezaagames Azure MInes is looking good.', 752806716119457793), ('berezaagames what was the comment that delayed azure mines.', 752809970400366592), ('berezaagames how do you get the welcome to azure mines I can t see because of it.', 752824111815155713), ('Azure Mines Early Beta is now live for everyone on PC and Xbox One to play Report any bugs amp be ready for updates.', 752820001216798720)]","[('Azure Mines PC DEMO testers can now access Azure Mines on Xbox Open it on PC and then go to Recently Played on Xbox L.', 752827340128980992)]"
#dh2016,"[('Data Fabric diagram from resdatall shows domain neutrality of building data collections dh2016 BridgetAlmas https.', 752824487293423616), ('w baker dh2016 Reconvening SussexHumsLab workshop with a Music Information Retrieval pub quiz.', 752829989284880384), ('This humid morning Im at the dh2016 workshop Data Mining Digital Libraries Am excited to dig in.', 752829380611702784), ('out DH2016 crowdsourcing workshop session overview at will have links to individual sessions as they run.', 752824573201158144), ('EVIA annotation audiovisual Digital Archive Project AvinDH DH2016.', 752826179011354624), ('Photogrammar has been one of my favourite projects in the last few years dh2016 AVinDH.', 752829005808693248), ('DH2016 crowdsourcing workshop continues in room MSK after lunch.', 752828725851553792), ('Buenas noticias p humanistasdigitales la Bib Dig Cervantes FBVMC abre sus TEIs RedHD DH2016 epriani igalina https.', 752828004590620675), ('ireland DRI is at the DH conference in Krakw this week for resdatall Follow DH2016 natalieharrower amp Beck Grant.', 752824391315193856)]","[('Making pretty pics in the dh2016 Music Information Retrieval Algorithms for Oral History Collections workshop https.', 752829161803247616)]"
#SNAPCHATAGGIETRAIN,"[('SNAPCHATAGGIETRAIN Add me.', 752818875239129088), ('SNAPCHATAGGIETRAIN add me Terriond.', 752818685534998529), ('SNAPCHATAGGIETRAIN add add add add me.', 752825001762557952), ('Add me on sc laceuptez SNAPCHATAGGIETRAIN.', 752823375601471488), ('SNAPCHATAGGIETRAIN add me nia janai.', 752819777442381824), ('Add me yaagurrll mimii SNAPCHATAGGIETRAIN.', 752822738293760000), ('Add me on Snapchat Username awesome9232 Snapchataggietrain.', 752830371184644096)]","[('OsoTD SNAPCHATAGGIETRAIN add me Terriond.', 752820601279148032)]"
GTA 5 DLC UPDATE,"[('RETWEET TO WIN COME TO STREAM GTA 5 DLC UPDATE CUNNING STUNTS RELEASED EARLY DLC via Uni.', 752831039156920320), ('RETWEET TO WIN PSN OR XBOX MONEY GTA 5 DLC UPDATE CUNNING STUNTS RELEASED EARLY DLC LIVESTREAM.', 752828693446361088), ('RETWEET GTA 5 DLC UPDATE CUNNING STUNTS RELEASED NEW SUPER CARS SPENDING SP GTAOn.', 752830670011977728), ('RETWEET TO WIN COME TO STREAM GTA 5 DLC UPDATE CUNNING STUNTS RELEASED EARLY DLC LIVESTREAM.', 752830101394485248), ('RETWEET DLC RELEASED HYPE GTA 5 DLC UPDATE CUNNING STUNTS RELEASED EARLY DLC LIVESTREAM.', 752828404043509760), ('LAST CHANCE TO RETWEET GTA 5 DLC UPDATE CUNNING STUNTS RELEASED EARLY DLC LIVESTREAM GTA.', 752828687649742848), ('RETWEET COME JOIN GTA 5 DLC UPDATE CUNNING STUNTS RELEASED NEW SUPER CARS via UnitedgamerzHQ.', 752828700140441600), ('RETWEET COME JOIN GTA 5 DLC UPDATE CUNNING STUNTS RELEASED NEW SUPER CARS SPENDING SP.', 752829115552571392), ('GTA 5 DLC UPDATE SHOWCASE MOTERBIKES CUNNING STUNTS RELEASED DLC LIVESTREAM GTA 5 ONLINE via YouTube.', 752829470692798464)]","[('RETWEET TO WIN JOIN NOW GTA 5 DLC UPDATE CUNNING STUNTS RELEASED EARLY DLC LIVESTREAM.', 752829540381167617)]"
Bari,"[('Puglia scontro tra treni in provincia di Bari Molte persone bloccate tra le lamiere Ecco le prime ricostruzioni.', 752830929031274496), ('Rescuers pulled a kid out of the wreckage of the Puglia trains Italy Bari.', 752830853458239489), ('Live aktuell auf ntvde TV Livebilder vom Zugunglck Bari Puglia Andria Corato.', 752830847330516994), ('Uno dei treni coinvolti dovrebbe essere l ET1018 partito da Bari alle 10 42 e diretto a Barletta Puglia.', 752830708817747968), ('Impatto frontale tra due treni in Puglia le immagini dal luogo dell incidente scene surreali BARI Ci sono.', 752830770624946176), ('Non ho parole per la strage in Puglia triste presso Bari.', 752830969405644805), ('Dire qualcosa impossibile se poi sei anche una pendolare recidiva ancora peggio Bari Puglia Andria Corato.', 752830963898548229), ('Bari Disastro ferroviario tra Corato e Andria il cordoglio del premier Renzi Vogliamo.', 752830901340348416)]","[('Scontro fra treni in Puglia oltre 10 morti Vagoni sbriciolati e gente intrappolata BARI Scontro frontale.', 752830771316994048)]"
#CHexit,"[('kalerqui Thank you gentlemen CHexit.', 752831170132402176), ('Wow Mabuhay ang Pilipinas CHexit.', 752831206920560645), ('Novaresio910 CHexit please Follow Twitter Elie EOfficial Insta FB.', 752831250893795328), ('CHexit Ha Ha Ha slow clap.', 752831185684791297), ('The West Philippine Sea is ours CHexit.', 752831207092531200), ('Magbunyi Atin ang West Philippine Sea CHexit.', 752831231608311808), ('West Philippine Sea is ours Thank you PNoy Administration Mabuhay CHexit.', 752831188289499136), ('It s funny on how people praises Duterte for CHexit when in fact it was PNoy s effort amp the team Credit to where credi.', 752831230752595969), ('Whaddup gurl imma take West Philippine Sea CHexit.', 752831168421072896)]","[('Chexit yung mouthwash jcbroxas CHexit.', 752831218312294400)]"
#SouthChinaSea,"[('YungFeelingNa atin na talaga sya SouthChinaSea to WestPhilippineSea.', 752830743751987200), ('SouthChinaSea China Chinese SouthChinaSea This is our country.', 752830701766979584), ('President Xi Jinping China rejects any proposition or action based on award of SouthChinaSea arbitration.', 752830809745141761), ('Xi China rejects any proposition or action based on award of SouthChinaSea arbitration.', 752830689771479040), ('Tribunal rules in favor of Philippines in its complaint against China over territorial claims in SouthChinaSea.', 752830746901958656), ('SouthChinaSea Xi Jinping says China will not accept actions based on arbitration outcome htt.', 752830794519842816), ('Null and void China rejects Hague tribunal ruling SouthChinaSea.', 752830789226725376), ('It s not and it has never been SouthChinaSea it s East Sea and it doesn t belong to China.', 752830731567505408)]","[('South China sea belongs to China SouthChinaSea.', 752830730032472064)]"
#CowAppreciationDay,"[('Want FREE ChickfilA today All you have to do is dress like a cow CowAppreciationDay 12News.', 752838408171421698), ('Ready to party CowAppreciationDay is here Dress up to get a free Entre until 7 00 PM.', 752838940894253056), ('CowAppreciationDay dress like a cow and get free food at CFA today rt to save a life.', 752838793451933696), ('Here s how to score a free sandwich ChickfilA today CowAppreciationDay.', 752838305088086016), ('FREE ChickfilA today in honor of CowAppreciationDay EatMorChikin.', 752838175370993664), ('If I dress up like a cow for CowAppreciationDay can I just go back to bed instead of that whole free meal thing.', 752838379197300736), ('It s CowAppreciationDay Here s how to get free ChickfilA via fox8news.', 752838906442289152), ('We love to see the whole herd come in cowappreciationday is today until 7 pm Chick fil A at.', 752838578988867584), ('Its CowAppreciationDay Snare yerself sum chikin.', 752838873370140672)]","[('It s CowAppreciationDay today at ChickfilA DRESS LIKE A COW for a free meal MOO.', 752838514316804097)]"
#TravelTuesday,"[('Look A fun game thats easy to pack amp great for travelling KPRS TravelTuesday holiday ht.', 752838888201355264), ('TravelTuesday Have travel questions We ve got answers Check them out.', 752838806768943104), ('500px New York City by HumzaDeas TravelTuesday.', 752838666922364928), ('Believe it is Possible InAfricaNBeyond TravelTuesday Travel Motivation WanderLust http.', 752838399858503680), ('now Deep Roots in Africa Discover Baobab Travel TravelTuesday WeAreSalt.', 752838845985529856), ('A room with a view Traverse City Michigan traveltuesday Bayshore Resort.', 752838607572963328), ('Found great Italian restaurant CapeTown food TravelTuesday Food service and ambiance great loveSouthAfrica food https.', 752838255851298816), ('Your journey from digital to Experiential Luxury starts here TravelTuesday travel.', 752838999413297152), ('New York City by HumzaDeas TravelTuesday Photography Photos.', 752838511171145728)]","[('ResourceTravel s Top 10 Travel Photos of the Week TravelTuesday.', 752838501486489600)]"
David O. Brown,"[('Dallas Police Chief David O Brown Is Calm at Center of Crisis via nytimes.', 752837919103127552), ('A fine portrait of a compelling man Dallas Police Chief David O Brown Is Calm at Center of Crisis.', 752838822296190976), ('Dallas Police Chief David O Brown Is Calm at Center of Crisis The New York Times.', 752838516703268866), ('Support good men and women standing up tall Dallas Police Chief David O Brown Is Calm at Center of Crisis.', 752830784596275200), ('Dallas Police Chief David O Brown Is Calm at Center of Crisis by RICHARD FAUSSET ALAN BLINDER and MANNY FERN.', 752832445175701504), ('We ll put you in your neighborhood and help you resolve some of those problem Dallas Police Chief David O Brown.', 752838184233558016), ('Chief David O Brown is full of character and integrity and that drives BlackLivesMatter CRAZY DPDChief tcot https.', 752838810761691140), ('Top story mikandynothem Chief David O Brown is full of character and integ see more.', 752834791200976897)]","[('Dallas Police Chief David O Brown Is Calm at Center of Crisis.', 752838371244847104)]"
#HipHopHonors16,"[('HipHopHonors16 RichHomieQuan pulled a LupeFiasco.', 752838908476612608), ('The gorgeous ecurvynchic rocking FTFSnaps at the HipHopHonors16.', 752838346330796033), ('HipHopHonors16 Biggie reaction to finding out Rich Homie Quan forgot his verse too Get Money.', 752837677796429824), ('Rich Homie Quan should be ostracized from the rap game after last night HipHopHonors16.', 752838020252987392), ('Last night HipHopHonors16 was dope.', 752837735757512704), ('Us When LilKim forgot her verse as we were honoring her HipHopHonors16.', 752838057615908864), ('Glad the culture was represented last night HipHopHonors16 But Rich Homie Quan needs a talking too.', 752838676435046400), ('rn When Biggie heard Rich Homie Quan mess up the lyrics to Get Money at the hiphophonors hiphophonors16.', 752838509946400768), ('I truly enjoyed VH1 s HipHopHonors16 last night.', 752836991885185024)]","[('Rich Homie Quan did a Lupe HipHopHonors16.', 752837215986782208)]"
#TuesdayMotivation,"[('Quote of the day TuesdayMotivation inspiration motivation happy life.', 752838338030239744), ('Up early this morning but I can t wait to get back in the studio tonight to work on a new track from hudahudia TuesdayMotivation.', 752838057435496448), ('Don t let other people hold the key to your Peace JoyTrain TuesdayMotivation.', 752838186229960704), ('My personality test results came back they re negative LIVE TODAY EST 12noon UK 5pm IST 9 30pm TuesdayMotivation https.', 752838120517820417), ('There is always a time for growth Learn from the bad and prosper from the good tuesdaymotivation.', 752838514597912576), ('Cry Forgive Learn Move on Let your tears water the seeds of your future happiness TuesdayMotivation.', 752838387925651456), ('Peeling away some of the Magic of animation for your TuesdayMotivation reel.', 752838436537503752), ('Condition your mind to be influenced by truth PositiveLife TuesdayMotivation.', 752838099734962176)]","[('Good better best Never let it rest Until your good is better and your be TuesdayMotivation inspiration.', 752838231419342849)]"
Middleburg,"[('Clay County Sheriff s Office Homeless man wanted for questioning after Middleburg stabbing https.', 752827016970375168), ('CCSO now looking for this man as a person of interest in Middleburg stabbing of elderly man.', 752823815839817728), ('Man stabbed in Middleburg Tuesday morning deputies seek man for questioning.', 752825132230422528), ('Clay County Sheriff s Office Homeless man wanted for questioning after Middleburg stabbing.', 752823392923942913), ('Man stabbed in Middleburg Tuesday morning man wanted for questioning apprehended.', 752836100180340736), ('Detectives leaving Middleburg home where elderly man was stabbed deputies looking for suspect FCN2go.', 752822774801002496), ('CCSO Elderly man stabbed in Middleburg 24 year old taken into custody.', 752836191142174720), ('UPDATE A 24 year old Clay County man has been taken into custody regarding an early morning stabbing.', 752836691233079296), ('Elderly man stabbed in Middleburg suspect on the loose detectives find large knife nearby FCN2go.', 752823408375820288)]","[('Man stabbed in Middleburg Tuesday morning man wanted for questioning apprehended A man wanted for questioni.', 752836917540982784)]"
#5WordAlienPickupLines,"[('5WordAlienPickupLines Ssssssss ssss sssss sssssssss sssss.', 752837878716260352), ('Ack ack Ack ack ack 5WordAlienPickupLines.', 752838301237714944), ('5WordAlienPickupLines Come to my spaceship anytime.', 752838488609861632), ('5WordAlienPickupLines Wanna live long and prosper.', 752837951684538368), ('5WordAlienPickupLines ayy lmao ayy lmao ayy.', 752838056936366080), ('Can I probe you now 5WordAlienPickupLines.', 752838139870273536), ('Once you go Ferengi you 5WordAlienPickupLines.', 752838376567341057), ('You re not like the others 5WordAlienPickupLines.', 752837945678110720), ('That tentacle isn t my foot 5WordAlienPickupLines.', 752838394019848192)]","[('These stars are for you 5WordAlienPickupLines.', 752838361753190400)]"
#PrimeDay,"[('Anyone played Exploding Kittens Currently 25 off for PrimeDay.', 752838384725417984), ('Ho comprato cose che voi umani non potete immaginare PrimeDay.', 752838320581910528), ('BONPLAN SerieCULTE PrimeDay Le coffret DVD intgrale Oz est 33 45 normalement https.', 752838422893658113), ('BONPLAN SerieCULTE PrimeDay Le coffret DVD intgrale Oz est 33 45 normalement.', 752838359207272449), ('Support YWCA Bristol by shopping on amazon PrimeDay You shop Amazon gives Go ahead treatyourself.', 752838378777899008), ('Tips and tricks to get the best Amazon PrimeDay deals.', 752838489541050368), ('Today is PrimeDay StartWithaSmile and Amazon donates to techcorps org Go to Thank you.', 752838491902316544), ('Xbox Bundle 50 Amazon Gift Card 279 00 AmazonPrimeDay PrimeDay Amazon XboxOne.', 752838419315818496), ('I d love to be part of PrimeDay but amazon won t let me add things to my cart.', 752838483664891904)]","[('I decided to buy a few books for PrimeDay.', 752838439683313664)]"
Path to National Ruin,"[('Are We on the Path to National Ruin UniteBlue.', 752837638474915841), ('Are We on the Path to National Ruin by DAVID BROOKS via NYT.', 752837539992596480), ('Are We on the Path to National Ruin via nytimes.', 752834493170319361), ('Brooks misses point should use FDR as example not US in 1890s Are We on the Path to National Ruin via nytimes.', 752837702391693314), ('Brooks misses point should use FDR as example not US in 1890s Are We on the Path to National Ruin via nytimes https.', 752838443743477760), ('Are We on the Path to National Ruin We can make a difference on the local level where it matters most.', 752837292989878274), ('Are We on the Path to National Ruin DavidBrooks holds up mirror to our situation and speculates I.', 752838515851866112), ('Fairfax51 YMcglaun You all need to read this We are on the wrong track Are We on the Path to National Ruin.', 752836836062597120), ('metz The Path to National Ruin Interesting but what s different now amp 80s are the sources of public in.', 752835289761079297)]","[('Are We on the Path to National Ruin.', 752837719546408960)]"
Stage 10,"[('Tour de France 2016 TDF2016 Stage 10 live update14 00.', 752836437792350208), ('TDF2016 stage 10 lets go.', 752837079076265985), ('Mac75 Stage 10 crosswinds TDF2016.', 752837540504301568), ('Ashton on stage for SLFLHolmdel 10 07 16 1.', 752838050070208512), ('road Stage 10 has started It s cloudy up there TDF2016.', 752837560871813121), ('2016 Tour de France Stage 10 live updates blog.', 752837423898431488), ('Stage 10 from Tour de France is now on HD LIVE STREAM here TDF2016 TourdeFrance.', 752836836645535744), ('EPIC Calum Hood on stage for SLFLHolmdel 10 07 16 8.', 752838084715122688), ('LeTour stage 10 moments before the start AlvaroCycling TDF2016 socialpeloton.', 752836704797544448)]","[('Stage 10 crosswinds TDF2016.', 752836465311281152)]"
Vincent Janssen,"[('WAGS Tottenham Resmi Dapatkan Vincent Janssen.', 752838397895507969), ('BREAKING Tottenham complete the signing of Vincent Janssen via SkySportsNewsHQ.', 752838490761601024), ('Comparaison entre Kane et Vincent Janssen AZAlkmaar qui s est engag aujourd hui avec Tottenham jusque 2020 PL.', 752838614372016128), ('DONE DEAL Tottenham sign Vincent Janssen from AZ Alkmaar on a 4 year deal THFC.', 752838618385883137), ('Spurs complete a 17m deal for Netherlands striker Vincent Janssen.', 752838598689513472), ('Tottenham sign Dutch forward Vincent Janssen from AZ on four year deal UCL.', 752838560512966656), ('RT THFC DONE DEAL Tottenham sign Netherlands international striker Vincent Janssen from AZ COYS.', 752838412923789313), ('DEAL DONE Tottenham have completed the signing of Vincent Janssen for a fee of around 18m on a four year deal https.', 752838619102982145), ('DONE DEAL Tottenham have completed the signing of Vincent Janssen from AZ Alkmaar for 18 5 million.', 752838520419475456)]","[('BREAKING Tottenham complete the signing of Vincent Janssen.', 752838511523401728)]"
#WhatILearnedToday,"[('whatilearnedtoday DocThompsonShow skiplacombe KAL79 stuntbrain.', 752834275624488960), ('WhatILearnedToday US Citizens are suckers OhSNAP DocThompsonShow skiplacombe TMB.', 752839065301618688), ('DocThompsonShow skiplacombe From the left s view the flaw in the Cons Pro Act is it allows people their own opinion WhatILearnedToday.', 752835512583401472), ('WhatILearnedToday The last time skiplacombe took a picture of a king size bed things didn t go so well for him D.', 752832728769396736), ('Silly DocThompsonShow believed that whole freedom of association and freedom of religion stuff WhatILearnedToday.', 752832736939868162), ('DocThompsonShow skiplacombe WhatILearnedToday Donald Trump is the CSI Miami candidate.', 752832318591631360), ('kris WhatILearnedToday that moment KAL79 realize that he messed up DocThompsonShow skiplacombe.', 752835812971188225), ('DocThompsonShow skiplacombe WhatILearnedToday Sanders would be the Vaudeville Candidate.', 752838527541514240), ('DocThompsonShow Apparently Right to Choose only applies if you want to kill the baby not if you want to save the baby WhatILearnedToday.', 752835019962519552)]","[('Scumbags WhatILearnedToday DocThompsonShow skiplacombe.', 752836603056447488)]"
#FelizMartes,"[('Loquito perdido me tienes mrwonderfulshop felizmartes.', 752839014357630977), ('Buenos das familia FelizMartes.', 752838916512899072), ('Acordate Un derecho no es lo que alguien te debe dar UN DERECHO ES LO QUE NADIE TE DEBE QUITAR justicia FelizMartes.', 752838971969900546), ('Amars de nuevo FelizMartes.', 752839023803203584), ('FelizMartes bocn cara de Homero.', 752838894878494720), ('Buen da Comunidad unefista FelizMartes leqm30.', 752838907239211008), ('FelizMartes de calorazo Sabes cmo prevenir un golpe de calor Y llegado el caso Sabras cmo actuar.', 752838954601308160), ('Venden aguacate a un precio justo LaFotoDelDa SexenioImpreso FelizMartes.', 752838941623988225), ('poder1110 lesliora6 zgarcia1110 ranaprieta A TOOOOD S AMIGAS AMIGOS FelizMartes.', 752838968224382977)]","[('FelizMartes sera un da mas pero un aprendizaje diferente.', 752838901140717568)]"
Katharine Viner,"[('How technology disrupted the truth Katharine Viner Media The Guardian.', 752837771023228928), ('How technology disrupted the truth Katharine Viner KathViner.', 752838446838870017), ('How technology disrupted the truth Katharine Viner Media The Guardian see more.', 752834840945422340), ('glend This is so so great how technology disrupted the truth Katharine Viner.', 752836302786002944), ('A long read but thought provoking What is truth How technology disrupted the truth Katharine Viner.', 752837295993155584), ('How technology disrupted the truth Katharine Viner via guardian.', 752836416753668096), ('Everyone should read this How technology disrupted the truth Katharine Viner.', 752838577575301120), ('hall How technology disrupted the truth Katharine Viner Media The Guardian.', 752836630394830848), ('PUSH What s hot in tech How technology disrupted the truth Katharine Viner see more.', 752834753699667968)]","[('How technology disrupted the truth Katharine Viner.', 752838290173267968)]"
#AtlantaAlive,"[('MORE 270 FOLLOWERS CBS4Morning SMSociety SREcon16Europe AtlantaAlive WestPHSea 5WordAlienPickupLines.', 752833848153518080), ('01021543560 01021543560 01021543560 AtlantaAlive.', 752830435512553474), ('Today s the last day in the job for an Atlanta officer who police say shot and killed a 22yo man AtlantaAlive.', 752838816847818752), ('APD to fire officer involved in shooting death of midtown burglary suspect AtlantaAlive https.', 752838172657213440), ('The chance for rain will increase throughout the rest of the week Watch AtlantaAlive.', 752826104268795904), ('TIMELINE Day 5 of protests in Atlanta AtlantaAlive.', 752833690590404609), ('Everyone arrested during Monday night s atlanta protests have been released Update at 6 30 on AtlantaAlive.', 752827432663744513), ('Father says his son was killed by an officer for a crime that never happened AtlantaAlive https.', 752827790999728128), ('5 Ways To Deal With Atlanta Traffic Atlanta AtlantaAlive.', 752827656979288064)]","[('01021543560 01021547745 01021543560 AtlantaAlive.', 752839030882963456)]"
#hearteyeshowellblockparty,"[('What is this I m confused hearteyeshowellblockparty.', 752836345589014528), ('You guys are so ugly hearteyeshowellblockparty.', 752824243155570688), ('hearteyeshowellblockparty haha wut is this.', 752836934238543872), ('hearteyeshowellblockparty this is ridiculous hearteyeshowell expressed herself and everyone attacked her This is wh.', 752819836871446528), ('hearteyeshowellblockparty don t ask why people hate the phandom then pull shit like this.', 752835448683302912), ('hearteyeshowellblockparty Guys this is why people hate the Phandom how about instead we tweet Hearteyeshowellcomeback.', 752821810811449344), ('Can y all stop tweeting hearteyeshowellblockparty and get GetPhilTo4Mil trending.', 752822278912512000), ('Stop tweeting with hearteyeshowellblockparty we don t need this negativity get GetPhilTo4Mil trending instead.', 752832501387788288), ('hearteyeshowellblockparty we know people hate the Phandom and we may not think they have a good reason but we re giving them quite a few.', 752817514774663168)]","[('this is so funny hearteyeshowellblockparty.', 752813516273422336)]"
#PrivacyShield,"[('PrivacyShield Angebliche Verbesserungen gegenber SafeHarbor zusammengefasst in 5 Punkten von zeitonline.', 752838026599030784), ('Info PrivacyShield Angebliche Verbesserungen gegenber SafeHarbor zusammengefasst in 5 Punkten von zeitonline.', 752838675948511232), ('KE uruchamia Tarcz Prywatnoci UE USA by zabezpieczy przepyw danych PrivacyShield.', 752838120245227520), ('VIDEO PrivacyShield approved today Watch my statement w PennyPritzker EU Commission https.', 752838526467735552), ('Commission EU Commission adopts the EU U S PrivacyShield High level of EUdataP amp legal clarity https.', 752838828683997184), ('The European Commission is adopting PrivacyShield It doesn t protect privacy of users when data is sent to the US.', 752838099349241856), ('Good news EU Commission adopts today its decision on PrivacyShield more info.', 752838639038656512), ('Data flows w US will enjoy a high level of protection PrivacyShield PennyPritzker.', 752838828675784704)]","[('Umstrittenes Datenschutzabkommen mit USA steht PrivacyShield.', 752838874410389505)]"
